MLII,V5
-0.145,-0.065
-0.145,-0.065
-0.145,-0.065
-0.145,-0.065
-0.145,-0.065
-0.145,-0.065
-0.145,-0.065
-0.145,-0.065
-0.12,-0.08
-0.135,-0.08
-0.145,-0.085
-0.15,-0.085
-0.16,-0.075
-0.155,-0.07
-0.16,-0.07
-0.175,-0.065
-0.18,-0.055
-0.185,-0.05
-0.17,-0.05
-0.155,-0.04
-0.175,-0.04
-0.18,-0.055
-0.19,-0.075
-0.18,-0.08
-0.155,-0.085
-0.135,-0.07
-0.155,-0.08
-0.19,-0.08
-0.205,-0.09
-0.235,-0.095
-0.225,-0.09
-0.245,-0.095
-0.25,-0.11
-0.26,-0.12
-0.275,-0.145
-0.275,-0.135
-0.275,-0.105
-0.265,-0.095
-0.255,-0.105
-0.265,-0.12
-0.275,-0.135
-0.29,-0.125
-0.29,-0.125
-0.29,-0.115
-0.29,-0.115
-0.285,-0.125
-0.295,-0.14
-0.305,-0.14
-0.285,-0.13
-0.275,-0.125
-0.275,-0.14
-0.28,-0.145
-0.285,-0.15
-0.305,-0.15
-0.29,-0.13
-0.3,-0.115
-0.28,-0.125
-0.29,-0.135
-0.3,-0.16
-0.315,-0.195
-0.32,-0.2
-0.335,-0.205
-0.36,-0.225
-0.385,-0.255
-0.385,-0.3
-0.405,-0.29
-0.455,-0.235
-0.485,-0.13
-0.485,-0.035
-0.425,0.05
-0.33,0.12
-0.22,0.2
-0.07,0.31
0.12,0.435
0.375,0.535
0.62,0.58
0.78,0.475
0.84,0.21
0.765,-0.085
0.52,-0.23
0.17,-0.25
-0.165,-0.215
-0.365,-0.18
-0.435,-0.185
-0.425,-0.16
-0.37,-0.15
-0.33,-0.15
-0.325,-0.18
-0.335,-0.18
-0.345,-0.16
-0.33,-0.165
-0.325,-0.17
-0.315,-0.165
-0.31,-0.185
-0.32,-0.185
-0.335,-0.185
-0.34,-0.17
-0.325,-0.16
-0.345,-0.155
-0.335,-0.175
-0.33,-0.195
-0.335,-0.185
-0.33,-0.185
-0.325,-0.175
-0.33,-0.175
-0.33,-0.195
-0.345,-0.19
-0.355,-0.18
-0.335,-0.165
-0.325,-0.17
-0.305,-0.17
-0.32,-0.17
-0.32,-0.19
-0.33,-0.185
-0.34,-0.18
-0.335,-0.17
-0.34,-0.175
-0.345,-0.19
-0.355,-0.2
-0.355,-0.195
-0.34,-0.185
-0.33,-0.17
-0.33,-0.17
-0.33,-0.185
-0.34,-0.195
-0.35,-0.175
-0.325,-0.2
-0.325,-0.185
-0.33,-0.18
-0.33,-0.185
-0.335,-0.205
-0.335,-0.19
-0.34,-0.18
-0.33,-0.185
-0.34,-0.2
-0.35,-0.215
-0.355,-0.205
-0.35,-0.21
-0.345,-0.2
-0.33,-0.185
-0.32,-0.205
-0.335,-0.2
-0.33,-0.21
-0.345,-0.205
-0.33,-0.185
-0.335,-0.185
-0.335,-0.2
-0.345,-0.215
-0.345,-0.225
-0.355,-0.22
-0.34,-0.2
-0.34,-0.2
-0.335,-0.215
-0.33,-0.225
-0.35,-0.235
-0.35,-0.245
-0.345,-0.24
-0.335,-0.24
-0.335,-0.24
-0.335,-0.245
-0.35,-0.26
-0.355,-0.26
-0.355,-0.265
-0.345,-0.265
-0.345,-0.28
